no	tarih	baslik	durum	iliski	kaynak
141	2026-05-27	Lansman öncesi kalan iş haritası — v0 etiketli 8 madde	AKTIF		2026-05.md:2322
143	2026-05-27	/test sayfası ODA_MAP'e eklendi	IPTAL	geri alındı: 82b5962 (6 Tem 2026) — dev-only referans, lansman öncesi temizlik; ardıl karar yok	2026-05.md#k143
144	2026-05-27	Lansman sonrası ilk hafta paketi — 3 yeni madde	ACIK-BORC	B16	2026-05.md:2346
148	2026-05-27	Brief I.3 — SonrakiBulusma kategori defansı + lib refactor	AKTIF		2026-05.md:2702
155	2026-05-31	Sıralı setlerde slug semantik disiplini	KALICI		2026-05.md:3166
156	2026-05-31	Manifesto section'ı felsefi disiplin	KALICI		2026-05.md:3114
157	2026-05-31	Git iş döngüsü — bağlanan karar	AKTIF	→193	2026-05.md:3284
158	2026-05-31	Tarih dropdown + Dolu statü + boş durum	AKTIF	↔384	2026-05.md:3200
163	2026-05-31	Notion-marker-driven slot kompozisyonu	KALICI		2026-05.md:3122
165	2026-05-31	Sıfır etkinlikte tüm yaklaşan + DEFAULT_HEADING fallback	AKTIF	↔377	2026-05.md:3124
166	2026-05-31	Kaan-Claude sınır disiplini	KALICI		2026-05.md:3244
167	2026-05-31	Cormorant italik vs roman optik metrik farkı	KALICI		2026-05.md:3110
168	2026-05-31	Astro scoped CSS + `set:html` uyumsuzluğu	KALICI		2026-05.md:3208
181	2026-05-31	GTM UI tag setup tam — lansman blocker kapandı	AKTIF		2026-05.md:3224
183	2026-05-31	Ateş Mektupları input'ta `autocomplete="email"` eksik	ACIK-BORC	B17	2026-05.md:3206
190	2026-05-31	Route precedence WARN dökümantasyonu	KALICI		2026-05.md:3256
191	2026-05-31	Git iş döngüsü — bağlanan karar	AKTIF	→193	2026-05.md:3284
192	2026-05-31	Vercel CLI deploy disiplini	KALICI	←149	2026-05.md:3280
195	2026-05-31	Atomik commit + atomik deploy	KALICI		2026-05.md:3268
197	2026-05-31	`nowrap` + `clamp` rozet deseni	KALICI		2026-05.md:3575
198	2026-05-31	`yolculuk-eksen` — kömürden aleve ısı-şeridi marker	AKTIF		2026-05.md:3565
199	2026-06-01	Isı rampası tokens — `--isi-acilis … --isi-donus` + `--kor-cizgi`	AKTIF		2026-06.md:86
200	2026-05-31	`evreler-intro` + 6× `evre-*` whitelist + `transformEvre`	AKTIF		2026-05.md:3565
201	2026-06-01	Lokasyon ayracı "·" — "+" teknik/matematiksel	KALICI		2026-06.md:88
203	2026-06-03	Teknik rehber sayfaları vurgu override'ından hariç	AKTIF	←202	2026-06.md:105
204	2026-05-31	Altın rengi tek-kaynak token (`--gold`)	AKTIF	B21 kapandı (75e5274) · token adı `--gold` kalıcı — D5	tokens.css:26 (--gold), atmosfer.css:93,103
205	2026-06-01	Form ayrı route'a — `/iletisim/bize-yaz`	AKTIF		2026-06.md:123
206	2026-06-01	İletişim dropdown 4 seçenek + form-anchor kaldırma	AKTIF	↔423	2026-06.md:123
207	2026-06-01	Kanal kartları tasarım sistemi — üç simetrik kart	AKTIF		2026-06.md:123
208	2026-05-31	Bölüm başlıkları "ikincil vurgu" rolünde kalır	KALICI		2026-05.md:3571
209	2026-06-01	Footer TEMAS saf menü — üç "git" linki	AKTIF		2026-06.md:123
211	2026-06-01	Footer sabit manifesto cümlesi — iki ayrı katman	AKTIF		2026-06.md:141
212	2026-06-03	WhatsApp yüzen buton — `WhatsappYuzen.astro`	AKTIF		2026-06.md:162
213	2026-06-03	WhatsApp numarası tek sabit kaynak + target/rel	KALICI		2026-06.md:162
214	2026-06-03	Kayıt mimarisi — format başına ayrı `kayit` sayfası (7 statik dosya)	AKTIF		2026-06.md:182
215	2026-06-03	Form esnekliği — iletişim + KVKK + ödeme blokları	AKTIF		2026-06.md:182
216	2026-05-31	`submitKayit()` backend-agnostik tek hedef	KALICI		2026-05.md:3567
217	2026-06-03	Ödeme ucu — havale/EFT	AKTIF	↔297,364	2026-06.md:182
219	2026-06-03	Yol C — otomatik katılım linki	AKTIF		2026-06.md:182
220	2026-06-03	Katılım linki ödemeli akışta gizli	KALICI		2026-06.md:182
221	2026-06-03	Referans no `OCAK-XXXXX` + success copy	SUPERSEDE	→250 (6 hane)	2026-06.md:182
222	2026-05-31	Bot prompt yönetimi Notion CMS — BotZ platform	AKTIF		2026-05.md:3573
223	2026-06	İki pipeline keşfi — Apps Script lead formları ölü kod, taşınacak 3 form	AKTIF		2026-06.md#k223
226	2026-06-02	`src/lib/zoom.ts` + `api/zoom-olustur.ts`	AKTIF		2026-06.md:234
228	2026-06-02	Tek mail, koşullu field (Yol 2)	AKTIF		2026-06.md:237
229	2026-06-05	ML `zoom_sifresi` field açıldı	AKTIF	→230	2026-06.md:273
230	2026-06	Test edilen kod eski production'dı — teşhis dersi	KALICI		2026-06.md:293
231	2026-06	`Zoom Başlangıç Saati` makine-saat alanı display'den ayrı	KALICI		2026-06.md:298
232	2026-06	Cleanup fırsatı reddedildi — esneklik kaybı + real data first	KALICI		2026-06.md:298
233	2026-06-02	Ödeme webhook — `security.checkOrigin:false` + imza	AKTIF	↔297 (iyzico hattı değişti)	2026-06.md:241
234	2026-06-06	İki-kapı + Kayıtlar otoritesi	KALICI		2026-06.md:333
235	2026-06-06	`kodKullanimArtir` + env cleanup	AKTIF		2026-06.md:335
236	2026-06-02	Yasal kimlik bloğu + ODA_MAP 22→26	AKTIF		2026-06.md:244
239	2026-06	Faz-bazlı dallanma + Kullanılan Kod + UI temizliği	AKTIF		2026-06.md:360
241	2026-06-06	Askı toggle + indirim=0 — backend yok	AKTIF		2026-06.md:339
242	2026-06	Çift-sayım ruhu — 24s içinde aynı email sessiz skip	KALICI		2026-06.md:414
243	2026-06-06	Sayaç testi — 12/12 PASS	AKTIF		2026-06.md:341
244	2026-06	Çift sayım koruması + Şehir Kayıtlar DB'ye	AKTIF		2026-06.md:361
245	2026-06	Aşama 3b ilk uygulama	AKTIF		2026-06.md:358
252	2026-06	`<siparis>` deseninin OCAK'a taşınması — yeni makine yok	AKTIF		2026-06.md:392
253	2026-06	Şifre LLM'in yanına gelmez — tag-replacement	KALICI		2026-06.md:392
254	2026-06	Geçmişe sır yazma yasağı — multi-turn sızıntı önleme	KALICI		2026-06.md:392
255	2026-06	Aynı telefon birçok kayıtta → disambiguation şart	KALICI		2026-06.md:394
258	2026-06	Notion property yetmez — Code node o DB'yi çekmeli	KALICI		2026-06.md:394
261	2026-06	Koşullu required — false ise value gönderilmez	AKTIF		2026-06.md:401
262	2026-06	İki onay satırı eş pattern — asimetri teşhisi	AKTIF		2026-06.md:404
263	2026-06	Aydınlatma metni link + font 0.76rem / lh 1.55	AKTIF		2026-06.md:404
264	2026-06	Brief güncellenince CC'ye güncel halin geçtiğini teyit et	KALICI		2026-06.md:401
265	2026-06	Cascade'i parent'tan başlayarak izle	KALICI		2026-06.md:404
267	2026-06	CC push-back'i kabul edildi — iki mail deseni	AKTIF		2026-06.md:410
268	2026-06	Tek davet metni her kanalda aynı, listeye yazma yok	KALICI		2026-06.md:412
269	2026-06	Resend `mail.ocak.biz` subdomain — SPF çakışması önlendi	KALICI		2026-06.md:412
270	2026-06	Davet edilen e-posta URL/query'ye asla girmez	KALICI		2026-06.md:414
271	2026-06	Davetler DB + `?ref=` altyapısı	AKTIF		2026-06.md:414
272	2026-06	Kayıt Tipi-agnostik — Direkt + Başvuru ikisi için	KALICI		2026-06.md:416
273	2026-06	Promo alanı 0-TL'de render olmaz + havale kopya vaadi kalktı	AKTIF		2026-06.md:418
274	2026-06	Fix 4b — Aşama 5+ Resend template + trigger	ACIK-BORC	B18	2026-06.md:418
275	2026-06	İki tur uygulandı, eyeball temiz, kapandı	AKTIF		2026-06.md:420
276	2026-06	Arşivde "o günün gerçeği" korunur	KALICI	←61,88	2026-06.md:423
278	2026-07-02	Slug ayrı Notion property + build guard	AKTIF	←277	2026-07.md:175
281	2026-07-02	Semantik dikey ritim token sistemi	KALICI		2026-07.md:175
282	2026-07-02	Takvim-etkinlik display teması	AKTIF		2026-07.md:177
284	2026-07-02	Takvim/format sırası explicit — tek kaynak `KATEGORI_SIRA`	AKTIF	B24 kapandı (0b62473) · `bulusmalar.astro` KATEGORI_SIRA türetimi + BULUSMALAR_DISI	etkinlik-kategori.ts:62-71
285	2026-07-02	Filtre paneli reddedildi	KALICI		2026-07.md:178
287	2026-07-02	Kart meta satırı — Yöneten · Mekân/Platform · Saat	SUPERSEDE	→333	2026-07.md:178
288	2026-07-02	Mekân/Platform kapalı küme vs serbest alan kuralı	KALICI		2026-07.md:178
289	2026-07-02	Rozet "YÜZ YÜZE" + `mekanTipi()` 7 değer	KALICI		2026-07.md:178
291	2026-07-02	Anadolu harita+kart görsel dili — zigzag → numara	AKTIF	→340	2026-07.md:181
292	2026-07-02	Eşik accordion mimarisi	AKTIF		2026-07.md:186
293	2026-07-02	Eşik exclusive accordion scroll-jump fix	AKTIF		2026-07.md:187
294	2026-07-02	Slug-route disiplini	KALICI	←87	2026-07.md:183
295	2026-07-02	Notion ↔ kod sıra dersi — rename önce Notion	KALICI		2026-07.md:184
296	2026-07-02	Slug + eşik main merge + production deploy	AKTIF		2026-07.md:184
298	2026-07-02	Üç-dallı merge brief deseni	KALICI	←266	2026-07.md:193
300	2026-07-05	İki katmanlı dürüstlük dili + imza cümlesi	KALICI		2026-07.md:352
301	2026-07-05	Glyph kuralı — 5 glyph yalnız 5 kanon kartının mührü	KALICI		2026-07.md:352
302	2026-07-05	Evre-arketip değişmez + kanon yolculuk eşleşmesi	KALICI	←290	2026-07.md:354
303	2026-07-05	Kanon = tema havuzu	KALICI		2026-07.md:352
304	2026-07-05	H2 kakao dozu — 34 → ~12 geçiş	AKTIF		2026-07.md:360
305	2026-07-05	H3 süre/sıklık kanonu — 7 alt-karar	AKTIF	↔443,444	2026-07.md:361
308	2026-07-05	Eyeball sınıflama mimarisi	KALICI		2026-07.md:372
310	2026-07-05	Dalga A mikro kararları	AKTIF		2026-07.md:373
312	2026-07-05	Hedef kitle çift-yol genişlemesi — marka v1.3	KALICI	←15	00-devir.md:14
314	2026-07-05	H6 İstanbul esnetme — pasif-romantik dil düzeltildi	AKTIF		2026-07.md:367
315	2026-07-05	Tema havuzu Anadolulaşması	KALICI		2026-07.md:361
316	2026-07-05	Uluslararası Yolculuk ilgi kancası	AKTIF	↔437	2026-07.md:369
317	2026-07-05	"Çığlık çalışması" → "sesin salınması"	AKTIF		2026-07.md:364
318	2026-07-05	Mini-retreat tema glyph'leri kalkar	AKTIF	←301	2026-07.md:364
319	2026-07-05	Atölye gruplama sırası — tek-seferlikler öne	ONERI	Kaan vetosu açık	2026-07.md:364
320	2026-07-05	"Kakao Seremonisi" → "Açılış Seremonisi" blok adı	ONERI	Kaan vetosu açık	2026-07.md:364
322	2026-07-05	/biz üst blok yeniden yapılandırma	AKTIF		2026-07.md:531
325	2026-07-05	Ok konum kanonu — tıklanır link ok-sonda `[X →]`	KALICI		2026-07.md:537
327	2026-07-05	/felsefe ilke-başına-bir-zirve deseni (sayfa-istisna)	AKTIF		2026-07.md:541
328	2026-07-05	/seremoni mevsim bloğu mikro-rötuş	ONERI		2026-07.md:543
331	2026-07-05	Home = en yakın Açık Kapı + "İlk Kıvılcım" başlık	SUPERSEDE	→377 (başlık düştü, acik-kapi sabiti korundu)	2026-07.md:455
332	2026-07-05	`showKayitLink` — tek kayıt aksiyonu	SUPERSEDE	→423	2026-07.md:457
333	2026-07-05	Meta tek şema — Yöneten · Mekân · Saat-ham	AKTIF	←287	2026-07.md:459
337	2026-07-05	Detay sayfası — kart kaldırıldı, Hero + buton	SUPERSEDE	→428	2026-07.md:467
338	2026-07-05	Link metni bağlama göre farklılaşır	KALICI		2026-07.md:469
339	2026-07-05	Buluşmalar sekme sırası kanonik H5 — `FORMAT_ORDER`	AKTIF	↔429	2026-07.md:471
340	2026-07-05	Anadolu mobil şerit — viewport-ayrık render @768px	AKTIF	←291	00-devir.md:13
341	2026-07-05	Şerit etiketi = sadece evre adı	AKTIF		2026-07.md:479
342	2026-07-05	Aktif durakta yer adı teyidi	AKTIF		2026-07.md:481
343	2026-07-05	Aktif evre vurgusu — scroll-bağlı ortak state	AKTIF		2026-07.md:483
344	2026-07-05	"dokun" metni viewport-nötrleşmesi	AKTIF		2026-07.md:485
347	2026-07-05	`transformEsik` 4-param genelleştirme	AKTIF		2026-07.md:493
348	2026-07-05	`transformKapi` link-opsiyonel + `CARD_SECTIONS`	AKTIF		2026-07.md:495
349	2026-07-05	Vitrin Düzen A — tek sütun, 2-sütun grid reddedildi	KALICI		2026-07.md:497
350	2026-07-05	Statik ember kor şeridi — vitrin sol şeridi `--ash`→`--ember` 3px statik, hover/tap kaldırıldı	SUPERSEDE	→411 (kısmi: hover/tap yasağı korundu, geometri + ray semantiği değişti)	2026-07.md#k350
351	2026-07-05	Ritim tipografisi — vitrin + raf ortak	AKTIF		2026-07.md:501
352	2026-07-05	Sıcak zemin renk seviyesi	AKTIF		2026-07.md:503
353	2026-07-05	Gündönümü V2 sadeleştirme	AKTIF		2026-07.md:505
356	2026-07-05	`transformBesKaynak` — yön-kartı transform	AKTIF		2026-07.md:511
357	2026-07-05	Kaynak kartı Varyant C — pusula-başlık	AKTIF		2026-07.md:513
358	2026-07-05	Atölye Desen III — tek-seferlik liste	AKTIF	↔411	2026-07.md:515
359	2026-07-05	Atölye Desen IV — seri + süre başlıkta	SUPERSEDE	→412 (meta-slot iptali)	2026-07.md:517
360	2026-07-05	"Kadın ve Para" serisi çıkık kalır	AKTIF	←319	2026-07.md:519
362	2026-07-05	Seri kartları tek-p düzeltmesi	AKTIF		2026-07.md:517
375	2026-07	Order-duyarlı selektör + baseline sızma disiplini	KALICI	←355	2026-07.md:641
385	2026-07	Build-time tarih kararı TZ-sabitlenir (Europe/Istanbul)	KALICI	B23 kapandı (9da42b0+84f939c) · test tarafı ←464	davet-guvenlik-agi.ts:29, api/kayit.ts:67
387	2026-07	Preview testi dört-değişken doğrulaması	KALICI		2026-07.md:645
388	2026-07	Güvenli merge protokolü (tag)	KALICI		2026-07.md:851
389	2026-07	Hesap adı uçucu, ID kanonik — Vercel slug kso2025→hlaorpz	KALICI		00-devir.md:12
394	2026-07	Client-safe ↔ server-only modül sınırı	KALICI		2026-07.md:649
395	2026-07	İki-yüzey drift kuralı — kopyayı elle eşit tutma	KALICI	←373	2026-07.md:647
403	2026-07	Ürün-katmanı imza cümlesi tek evi `/yolculuk` hero	AKTIF		2026-07.md:1148
410	2026-07	WhatsApp display name adayları Meta tarafından reddedildi	SUPERSEDE	→519 (…5226'da "Ocak Kadın Çemberi" onaylandı, 19 Ağu Kaan teyidi) · B19	2026-07.md:1194
430	2026-07-12	Format enum "Uluslararası Yolculuğu" → yüz yüze; migrasyon yok	AKTIF		2026-07.md:1075
431	2026-07-12	Yolculuk online — 20-24 kontenjan, Direkt kayıt, paralel takvim	AKTIF		2026-07.md:1071
434	2026-07	Kavram katmanı Anadolu-spesifik gerçeklerden arındırıldı	AKTIF		00-devir.md:10
435	2026-07	İki farklı kapı — biri diğerinin küçüğü değil	KALICI		2026-07.md:1113
437	2026-07-12	"Uluslararası" → "Dünya"	KALICI		2026-07.md:1071
438	2026-07	Yedinci kapı Meta açıklaması	AKTIF	←429	2026-07.md:1123
439	2026-07	Notion'a dokunulacak gün o günkü taze dump gerekir	KALICI		2026-07.md:1127
440	2026-07	`basvuru` öncesi/sonrası konum; Anadolu gövdesi korundu	AKTIF		2026-07.md:1125
441	2026-07	Fable içerik/editoryal turu	AKTIF		00-devir.md:10
442	2026-07	"Uzmanlık var; kürsü yok" doktrini	KALICI		2026-07.md:1165
443	2026-07	Anadolu süre standardı — 3g4g / Dönüş 4g5g	KALICI	←6	2026-07.md:1166
447	2026-07	WhatsApp stratejik konumlama — push'u hizmete, pull'u pazarlamaya	AKTIF	↔410 (display name beyanı geçersiz)	20-ref-bot.md#k447
448	2026-07	A/B/C/D iş kırılımı	AKTIF		2026-07.md:1164
449	2026-07-19	Sosyal medya ajans v2 — elektrik-kesildi teslim standardı	KALICI		00-devir.md:10
450	2026-07-19	Gün 0 kurucu görsel kilidi — Gün 0 onayı olmadan Gün 1 yok	KALICI		2026-07.md:1204
451	2026-07-19	"Kayıt/başvuru açık" dili Kaan sayfaları açana dek yasak	KALICI		2026-07.md:1204
452	2026-07-19	Anadolu evre süreleri kartları + tek soruluk not	AKTIF		2026-07.md:1206
453	2026-07-19	Kamu metninde "köz" yasağı Bölüm 4'e kodlandı	KALICI	→86	2026-07.md:1206
62	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
64	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
66	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
67	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
68	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
159	2026-05-31	Tarih dropdown + Dolu statü + boş durum (blok üyesi)	AKTIF	⊂158	2026-05.md#k158-blok
160	2026-05-31	Tarih dropdown + Dolu statü + boş durum (blok üyesi)	AKTIF	⊂158	2026-05.md#k158-blok
164	2026-05-31	Notion-marker-driven slot kompozisyonu (blok üyesi)	KALICI	⊂163	2026-05.md#k163-blok
170	2026-05-31	Form-anchor look-backward + AtesMektuplariCTA daraltma (blok üyesi)	AKTIF	⊂169	2026-05.md#k169-blok
171	2026-05-31	Tarih dropdown + Dolu statü + boş durum (blok üyesi)	AKTIF	⊂158	2026-05.md#k158-blok
172	2026-05-31	Form-anchor look-backward + AtesMektuplariCTA daraltma (blok üyesi)	AKTIF	⊂169	2026-05.md#k169-blok
179	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
237	2026-06-02	Yasal/uyumluluk — 4 statik yasal sayfa + kurumsal kimlik (blok üyesi)	AKTIF	⊂236	2026-06.md#k236-blok
238	2026-06-02	Yasal/uyumluluk — 4 statik yasal sayfa + kurumsal kimlik (blok üyesi)	AKTIF	⊂236	2026-06.md#k236-blok
247	2026-06	Tasarım turu 2 — hesap bug + sıralama + askı sadeleştirme (blok üyesi, `934afbf`)	AKTIF	⊂241	2026-06.md#41-madde6
248	2026-06	Tasarım turu 1 — form sıralama + Niyet runtime + kuruş + Zoom şifre (blok üyesi, `7d8486c`)	AKTIF	⊂240	2026-06.md#41-madde5
454	2026-08-06	—	REZERVE	ADIM 1: 429-453 mühürlü, çakışma riski alınmadı; yeni kararlar 455'ten	2026-08.md#adim1
455	2026-08-06	Otorite kopya repodadır; project files bayat (10-marka.md istisna)	KALICI	→462	2026-08.md#k455
456	2026-08-06	KARAR ledger'ı indekstir, referans değil — `kaynak` sütunu zorunlu	KALICI		20-ref-protokoller.md
457	2026-08-06	`00-durum.md` 200 satır hard cap — aşan blok kronolojiye iner	KALICI	↔61,88	00-durum.md
458	2026-08-06	Agent/skill kadrosu + iki-yüzey mimarisi — kanonik kaynak `docs/skills/`	KALICI	↔455	2026-08.md#k458
459	2026-08-06	İçerik otoritesi: `ocak-metin` taslak-only, Notion'a giriş elle	KALICI	en az 3 ay	2026-08-06-ocak-gecis-plani.md
460	2026-08-06	SIRA İLKESİ — doküman kalitesi tesisattan önce gelir	KALICI		20-ref-protokoller.md
461	2026-08-06	MCP hedeftir, yapıştırma geçicidir — 1-3 oturmadan açılmaz	AKTIF	→ADIM 7	2026-08-06-ocak-gecis-plani.md
462	2026-08-06	Sohbet sonu = tek `docs-patch` dosyası, CC uygular (tam yenileme yok)	KALICI	←88,145,397	00-durum.md
463	2026-08-06	TEK KLON DİSİPLİNİ — bir repo, bir klon, bir aktif CC	KALICI	↔150 · B01	20-ref-protokoller.md
464	2026-08-06	Test ortamı TZ sabitlenir — `vitest.config.ts` → TZ:'UTC'	KALICI	←385 · ↔387 · kod teyitli 6 Ağu (vitest.config.ts:12)	vitest.config.ts
465	2026-08-07	Çapa tekilliği ve doğrulama disiplini — çapa tek benzersiz satırdan, kriter dosyanın gerçeğinden	KALICI	←355 · ↔462	2026-08.md#k465
466	2026-08-07	`kaynak` sütununun iki biçimi — `#kNNN` elle doğrulanmış çapa, `:NNNN` mekanik işaretçi	KALICI	←456	2026-08.md#k466
467	2026-08-07	Dosya dağıtımı ledger dönüşümünü içerir — eşleme + dönüşüm + doğrulama aynı işin parçası	KALICI	←456 · ↔465	2026-08.md#k467
468	2026-08-07	Sıra dosyası `03-sira.md` — sohbet sonu patch beş bölümlü olur	KALICI	←462	2026-08.md#k468
469	2026-08-08	Sır dokümanda yaşamaz — token/secret env'de ya da credential store'da	KALICI	←464	2026-08.md#k469
470	2026-08-08	Nicel iddia ölçülebilir olur — rakam üretim yöntemiyle yazılır	KALICI	←465 · ↔456	2026-08.md#k470
471	2026-08-08	Project files'ta kalan kopya türetilmiş aynadır — otorite repodadır	KALICI	←455 · ↔102	2026-08.md#k471
472	2026-08-08	Çapa çözümleme sözleşmesi — `#kNNN` madde başlığına çözülür, literal dizeye değil	KALICI	←466 · ↔461	2026-08.md#k472
473	2026-08-08	Skill senkron sözleşmesi — kanonik `docs/skills/`, CC yüzeyi symlink, `--check` zip yüzeyini denetler	KALICI	←458 · ↔463	2026-08.md#k473
474	2026-08-08	Dönem HEAD anlık görüntüdür — kapanış commit'inden bir önceki, doğrulama `git log -2 | tail -1`	KALICI	←468	2026-08.md#k474
475	2026-08-09	`ocak-kararci` ↔ `ocak-arsivci` sınırı — kararcı içeriği üretir ve önden doğrular, arşivci dosyaya işler	KALICI	←458 · ↔456,468	2026-08.md#k475
476	2026-08-09	`ocak-metin` ↔ `ocak-lint` sınırı — metin üretir, lint denetler; aynı kural iki dosyada tarif edilmez	KALICI	←458,459 · ↔473	2026-08.md#k476
477	2026-08-09	`ocak-notion` dar kapsam — taze dump + marker sözleşmesi doğrulaması; sayfa listesi koddan okunur, taşınmaz	KALICI	←458 · ↔409,439	2026-08.md#k477
478	2026-08-09	Sohbet sonu ikinci teslim — bir sonraki turun açılış promptu	KALICI	←468 · ↔462	2026-08.md#k478
479	2026-08-09	MCP git deposunu servis eder — servis edilen korpus çalışma dizini değil, ölçüm kriterleri `git ls-files` kümesine yazılır	KALICI	←461 · ↔470,471	2026-08.md#k479
480	2026-08-09	Çapa sözleşmesi iki eksenlidir — çözüm sonucu (`capa_cinsi`) ile çapanın kökeni (`capa_kaynagi`) ayrı alanlarda yaşar	KALICI	←466 · ↔472	2026-08.md#k480
481	2026-08-09	Ölçüm aracı kendi zeminindeki kusuru bayrakla döndürür — sığ çapa `siglik: true` ile döner	KALICI	←456 · ↔470	2026-08.md#k481
482	2026-08-11	Otorite sırası: indeks, indekslediği gövdeyi asla yenmez	KALICI	←102 · ↔456	2026-08.md#k482
483	2026-08-11	Belgenin düzyazı rakamı kendi gövdesiyle sınanmadan yazılmaz	KALICI	←470 · ↔465	2026-08.md#k483
484	2026-08-19	Bir rakam tek yüzeyde yaşar — kural bir yerde, envanter başka yerde	KALICI	←470 · ↔483	2026-08.md#k484
485	2026-08-19	İçerik build'i kod dalıyla aynı yerden gelir — deploy hook `main`'e bakar	ACIK-BORC	B64	2026-08.md#k485
486	2026-08-19	Katılım linki ödeme alınmadan hiçbir yüzeyde gösterilmez — kural maile de uygulanır	AKTIF	←220	2026-08.md#k486
487	2026-08-19	Canlı production polling ile dövülmez — doğrulama tek atışlık ya da gerçek tarayıcıyla	KALICI	↔355	2026-08.md#k487
488	2026-08-19	Kart akışı silinmez, `KART_AKISI` env anahtarıyla kapatılır	AKTIF	←363 · ←217	2026-08.md#k488
489	2026-08-19	Referans kodu `OCAK-` + 4 karakter, 29 karakterlik alfabe	AKTIF	←210 · ↔490	2026-08.md#k489
490	2026-08-19	Kod alfabesinde ölçüt: yanlış okuma geçersiz karakter üretmeli	KALICI	↔489	2026-08.md#k490
491	2026-08-19	Bir brief maddesini yanlışlayan kanıt öteki maddelerine de uygulanır	KALICI	←156 · ↔102	2026-08.md#k491
492	2026-08-19	AÇILIŞ 24–27 Eylül 2026 (Perş–Paz), Ege — üç gece dört gün	AKTIF	←13 · ←443	2026-08.md#k492
493	2026-08-19	Sosyal medya katman mimarisi — taban kişisiz akar, üst opsiyonel biner	AKTIF	←453 · ←450	2026-08.md#k493
494	2026-08-19	Yeniden yazma kararı sezgiyle değil dört-kova ölçümüyle verilir	KALICI	↔483	2026-08.md#k494
495	2026-08-19	Dump araçları kabul testiyle koşulur — HTTP 200 içerik garantisi değildir	KALICI	↔355 · ↔408	2026-08.md#k495
496	2026-08-19	Açık Kapı gövdesinde "çember" kelimesi geçmez; Çember'de zorunlu	KALICI	←206	2026-08.md#k496
497	2026-08-19	Çerçeve kuralı — sayfa başına iki buyuk-vurgu, üçüncüsü vuruşu harcar	KALICI		2026-08.md#k497
498	2026-08-19	Etkinlik gövdesi içi başlık H2'dir, H3 değil	KALICI		2026-08.md#k498
499	2026-08-19	Köz gövdeye girmez — renk hiyerarşisi üç katmanlı ve dolu	KALICI		2026-08.md#k499
500	2026-08-19	Etkinlik gövdesi sohbet içinde kod bloğu olarak verilir, dosya olarak değil	KALICI		2026-08.md#k500
501	2026-08-19	Kayıt soruları kalıbı — üç açık uçlu soru, her birinin altında bir rahatlatıcı satır	KALICI		2026-08.md#k501
502	2026-08-19	pratik-bilgi madde sayısı bekçi ölçüsü değildir; sabit olan ortak cümlelerdir	KALICI	↔470	2026-08.md#k502
503	2026-08-19	Etkinlik ritim CSS kapsamı main[data-page^="etkinlik/"] — token'lara dokunulmaz	AKTIF		2026-08.md#k503
504	2026-08-19	Kakao seremonisinin ekseni "niyet" değil, "cevabını aradığın soru"	AKTIF		2026-08.md#k504
505	2026-08-19	Kakao tedarik doktrini — online kadın sipariş eder, yüz yüze Advaita getirir	AKTIF		2026-08.md#k505
506	2026-08-19	Unvan yasağı genişledi — Cacaoista/Kakaoista/Cacaoiste kamu metninde geçmez	SUPERSEDE	←442 · →548 (kısmi: unvan yasağı korundu, betimleme serbest)	2026-08.md#k506
507	2026-08-19	"Kadim Maya seremonisi" iddiası yasaktır — format 2003 sonrası	KALICI	↔506	2026-08.md#k507
508	2026-08-19	Advaita'nın ham Instagram postları _arsiv/'e girer, 20-ref-* olarak değil	KALICI	↔482	2026-08.md#k508
509	2026-08-19	Ritüel Tasarımı seri program değil — iki oturumluk tek atölye	AKTIF	←79	2026-08.md#k509
510	2026-08-19	Atölye sayfa iskeleti on bölümdür; elinde-ne-kalir kanonik bölüm	KALICI		2026-08.md#k510
511	2026-08-19	Açık Kapı'nın sabit ne-olur bloğu Atölye'de kullanılmaz	KALICI	←442	2026-08.md#k511
512	2026-08-19	Atölye ödevi kayıt anında gitmez — ayrı MailerLite kampanyası	AKTIF	←228	2026-08.md#k512
513	2026-08-19	Türev yüzey, kaynaktan yeniden üretilmediğinde yalan söyler — tazelik kapısı	KALICI	↔355 · ↔495	2026-08.md#k513
514	2026-08-19	Çok oturumlu etkinlik tek satıra aralık olarak girilmez — kayıt satırı + gölge satır; gölge başlığı `Gölge` dizesini ve oturum sırasını taşır	AKTIF	←279 · ←278	2026-08.md#k514
515	2026-08-19	Yayın tetikleyicisi görünürlük kaynağı değildir — `Yayınla` build atar, `Sitede Göster` yayınlar	KALICI	←110 · ↔280 · ↔279	2026-08.md#k515
